"id","content","imageURL","docsLink","difficulty","daysBetweenReviews","dateLastReviewed","quizzable","discard","createdAt","updatedAt","topicId"
6,"Browsers do not display HTML tags, but use them to render the content of the page.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,FALSE,"2018-12-04 19:03:03.192-05","2018-12-04 19:03:03.192-05",1
7,"HTML can be considered the content of our website.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,FALSE,"2018-12-04 19:03:03.192-05","2018-12-04 19:03:03.192-05",2
11,"content-4","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,FALSE,"2018-12-04 19:03:03.193-05","2018-12-04 19:03:03.193-05",5
12,"content-5","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,FALSE,"2018-12-04 19:03:03.194-05","2018-12-04 19:03:03.194-05",5
2,"HTML is short for Hypertext Markup Language.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,TRUE,FALSE,"2018-12-04 19:03:03.189-05","2018-12-04 19:04:16.637-05",1
5,"HTML tags label pieces of content such as ""heading"", ""paragraph"", ""table"", and so on.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,TRUE,FALSE,"2018-12-04 19:03:03.191-05","2018-12-04 19:05:29.354-05",1
1,"HTML elements are the building blocks of HTML pages.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,TRUE,TRUE,"2018-12-04 19:03:03.19-05","2018-12-04 20:52:00.753-05",1
3,"HTML elements are represented by tags.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,TRUE,"2018-12-04 19:03:03.191-05","2018-12-04 20:52:39.07-05",1
4,"HTML can be considered the content of our website.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,TRUE,"2018-12-04 19:03:03.19-05","2018-12-04 20:52:40.53-05",1
8,"CSS stands for Cascading Style Sheets.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,TRUE,"2018-12-04 19:03:03.192-05","2018-12-04 20:53:58.684-05",2
9,"CSS provides the styling for our websites. It describes how the HTML elements in our websites should be displayed.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,TRUE,FALSE,"2018-12-04 19:03:03.193-05","2018-12-04 20:54:01.244-05",2
10,"CSS is a declarative language. This means that CSS explicitly describes its desired results. This means the language provides what is done, rather than how to do it.","https://s3.eu-west-2.amazonaws.com/fifteen-uploads/uploads/2016/10/DeveloperChallenges.jpg",,0.3,1,,FALSE,TRUE,"2018-12-04 19:03:03.193-05","2018-12-04 20:54:26.342-05",2
